authors,bestsellers-rank,categories,description,dimension-x,dimension-y,dimension-z,edition,edition-statement,for-ages,format,id,illustrations-note,image-checksum,image-path,image-url,imprint,index-date,isbn10,isbn13,lang,publication-date,publication-place,rating-avg,rating-count,title,url,weight
[1],49848,"[214, 220, 237, 2646, 2647, 2659, 2660, 2679]","SOLDIER FIVE is an elite soldier's explosive memoir of his time within the Special Air Service (SAS) and, in particular, his experiences during the 1991 Gulf War. As a member of the Special Forces patrol now famously known by its call sign Bravo Two Zero, he and seven others were inserted hundreds of kilometres behind enemy lines. Their mission to reconnoitre targets, undertake surveillance of Scud missil sites and sabotage Iraqi communications links was to end in desperate failure.From the outset, the patrol was dogged by problems that contributed both directly and indirectly to the demise of the mission. The patrol's compromise, and subsequent attempts to evade Iraqi troops, resulted in four members of Bravo Two Zero being captured and a further three killed. One escaped. But the story goes further that the Gulf War itself. Despite numerous books, films and articles on the same subject, the British Government has done its utmost to thwart the release of SOLDIER FIVE, at one stage claiming the book in its entirety was confidential. A campaign of harassment that took some four and a half years of litigation to resolve has now resulted in this controversial publication. SOLDIER FIVE is a gripping and suspenseful account of one man's experiences as a Special Forces soldier. Revealing his conflicts and loyalties, and the relationships he forged both on and off the battlefield, this book is the resolution of a soldier's determined fight to see his story told.",129,198,20,,,,1,9.78184E+12,,97c8e71f2ec114b34f243074d2091077,full/c/5/2/c529152ea1246c0cb17d6574d302eae6d2e7fb0a.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8401/9781840189070.jpg,Mainstream Publishing,,184018907X,9.78184E+12,en,10/14/2004 0:00,,4.03,292,Soldier Five : The Real Truth About The Bravo Two Zero Mission,/Soldier-Five-Mike-Coburn/9781840189070,224
"[2, 3]",115215,"[235, 3386]","John Moran and Carl Williams were the two biggest rival drug barons in Australia. They certainly weren't partners, but they weren't sworn enemies. One day, they had a meeting to end a dispute over drug money. Thinking he could scare his rival into submission, Moran pulled the trigger on Carl but decided not to finish the job off. It turned out to be the biggest mistake of his life.  Carl was hell bent on revenge. Within months, most of the Moran family and a host of underworld figures would die in an astonishing spate of revenge killings which shook the public and the police to the core. Murder, greed, drugs, sex and corruption abound in a story that reads like a piece of gangster fiction. But in Underbelly, the bullets and the blood are grippingly real.  This is true crime of the highest order - the amazing story of a powerful man who did things his way and eventually orchestrated his own terrible downfall.",127,203.2,25.4,,,,1,9.78184E+12,,1dc4e79575474ac775cdfe9840bdfb94,full/5/9/8/598ae8f736c99bc423352887d406d2b2f9495c2d.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8445/9781844547371.jpg,,,184454737X,9.78184E+12,en,3/13/2009 0:00,,3.6,335,Underbelly : The Gangland War,/Underbelly-Andrew-Rule/9781844547371,285.76
[4],11732,"[358, 2630, 360, 2632]","Sir Phillip knew that Eloise Bridgerton was a spinster, and so he'd proposed, figuring that she'd be homely and unassuming. ExceptΒ… she wasn't. The beautiful woman on his doorstep was anything but quiet, and when she stopped talking long enough to close her mouth, all he wanted to do was kiss herΒ… and more.",150,224,28,New edition,,,1,9.78842E+12,,3be3fd4fb2fceeb1eb58c3e73242ebb9,full/1/a/2/1a24ac04d4e0a01c8bb531481244b5431675b8c4.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/4163/9788416327867.jpg,,,8416327866,9.78842E+12,es,4/30/2020 0:00,,3.88,37211,"A Sir Phillip, Con Amor",/Sir-Phillip-Con-Amor-Julia-Quinn/9788416327867,386
"[5, 6, 7, 8]",114379,"[377, 2978, 2980]","The Third Book of General Ignorance  gathers together 180 questions, both new and previously featured on the  BBC TV programme's popular 'General Ignorance' round, and show why,  when it comes to general knowledge, none of us knows anything at all.",153,234,24,,Export - Airside ed,,1,9.78057E+12,,bc593914f06e1021be9977114ea2a28f,full/1/a/f/1af9cad94dfe897b4423993c78b137bee4099bd6.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571308996.jpg,,,571308996,9.78057E+12,en,10/1/2015 0:00,,4.17,384,QI: The Third Book of General Ignorance,/QI-Third-Book-General-Ignorance-John-Lloyd/9780571308996,436
[9],98413,"[2813, 2980]","The Try Guys deliver their first book-an inspirational self-improvement guide that teaches you that the path to success is littered with humiliating detours, embarrassing mistakes, and unexpected failures.",191,240,29,,,,2,9.78001E+12,,39c0422c00be90fb9258dd6df9068b1e,full/e/e/a/eea0ff6b6f1882d1862c711a2008e3c35d3a1c2e.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0083/9780008352516.jpg,HarperCollins Publishers Ltd,,8352518,9.78001E+12,en,6/18/2019 0:00,,3.9,5095,The Hidden Power of F*cking Up,/Hidden-Power-F-cking-Up-Try-Guys/9780008352516,980
"[10, 11]",90674,"[1520, 1532]",When and how did the universe begin? Why are we here? Is the apparent 'grand design' of our universe evidence for a benevolent creator who set things in motion? Or does science offer another explanation?,130,200,13,,,,1,9.78055E+12,35 colour illustrations integrated throughout,bed4d5ee9d3240303ff355e4e383cb47,full/0/a/1/0a1870d010b9ad272d5b20425b56e449eaca0867.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5538/9780553819229.jpg,Bantam Books (Transworld Publishers a division of the Random House Group),,553819224,9.78055E+12,en,3/18/2015 0:00,,4.04,64647,The Grand Design,/Grand-Design-Leonard-Mlodinow/9780553819229,329
"[6, 7, 8]",209150,"[377, 2978, 2980]","Did you know that: cows moo in regional accents; the entire internet weighs less than a grain of sand; the dialling code from Britain to Russia is 007; potatoes have more chromosomes than human beings; the London Underground has made more money from its famous map than it has from running trains; Tintin is called Tantan in Japanese because TinTin is pronounced 'Chin chin' and means penis; the water in the mouth of a blue whale weighs more than its body; Scotland has twice as many pandas as Conservative MPs; Saddam's bunker was designed by the grandson of the woman who built Hitler's bunker; Under the Wildlife and Countryside Act of 1981, it is explicitly illegal in Britain to use a machinegun to kill a hedgehog.",105,170,20,,Main,,1,9.78057E+12,,d04552f52c16c90db5511e4f76e78694,full/7/5/3/753715be3dcda52b44ac9b14bce4a5258ec13e5f.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5712/9780571297931.jpg,,,571297935,9.78057E+12,en,5/5/2016 0:00,,3.84,3923,"1,227 QI Facts To Blow Your Socks Off",/1-227-QI-Facts-Blow-Your-Socks-Off-John-Lloyd/9780571297931,164
"[12, 13]",223191,[2980],"We've all had them, those pointless arguments that are seemingly impossible to solve. We've been round in circles trying to work out what came first, the chicken or the egg? Don't get us started on the debate of what we are all here for? And you're bound to have had sleepless nights pondering which ingredient you simply can't do without in a full English Breakfast - sausage or bacon. Well worry no more, here to help you solve some of life's biggest - and most pointless - conundrums are Alexander Armstrong and Richard Osman.",132,198,22,,,,1,9.78144E+12,Integrated black and white illustrations,4be783fe835efc596d95732878612663,full/9/2/a/92a8415be732a03c7e7c2fbe4085edfcec58b34a.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4447/9781444762082.jpg,Coronet Books,,1444762087,9.78144E+12,en,5/8/2014 0:00,,3.56,268,The 100 Most Pointless Arguments in the World : A pointless book written by the presenters of the hit BBC 1 TV show,/100-Most-Pointless-Arguments-World-Alexander-Armstrong/9781444762082,248
[14],7004,"[3223, 700, 1521, 2820]","For the millions of Americans who want spirituality without religion, Sam Harris's latest New York Times bestseller is a guide to meditation as a rational practice informed by neuroscience and psychology. From Sam Harris, neuroscientist and author of numerous New York Times bestselling books, Waking Up is for the twenty percent of Americans who follow no religion but who suspect that important truths can be found in the experiences of such figures as Jesus, the Buddha, Lao Tzu, Rumi, and the other saints and sages of history. Throughout this book, Harris argues that there is more to understanding reality than science and secular culture generally allow, and that how we pay attention to the present moment largely determines the quality of our lives. Waking Up is part memoir and part exploration of the scientific underpinnings of spirituality. No other book marries contemplative wisdom and modern science in this way, and no author other than Sam Harris--a scientist, philosopher, and famous skeptic--could write it.",140,213,15,,Reprint,,1,9.78145E+12,,8242901f9c8358e80b64f16a9b76df0b,full/f/4/e/f4e5b422024491be842709726380c7a4c1c64fae.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4516/9781451636024.jpg,,,1451636024,9.78145E+12,en,6/16/2015 0:00,,3.92,33806,Waking Up : A Guide to Spirituality Without Religion,/Waking-Up-Sam-Harris/9781451636024,181
[15],66137,"[37, 46, 2784, 2942, 2980, 2912, 3385]","Part of the Art of Coloring series, which has sold over 2 million copies across the U.S.",193,272,15.24,,,,1,9.78148E+12,"1 Illustrations, unspecified",9f620cba34acf4ae6c717d0dd62c3aa4,full/8/0/0/800b21ffb4eddce9c7753889798e2affad0e4356.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4847/9781484788899.jpg,,,1484788893,9.78148E+12,en,5/4/2017 0:00,,4.2,5,Art Of Coloring: Muppets,/Art-Coloring-Muppets-Disney-Book-Group/9781484788899,476.27
[16],318003,"[2859, 2980, 2983]","When a young boy goes missing, a small town uncovers a mystery involving secret recipes, supernatural whisking forces and one strange ingredient...",148,198,16,,,,2,9.78141E+12,,870b29e7119cdf80beeb5aa626d019ce,full/3/a/4/3a444f0d8cb2b4ac55938ea31b5f76f151b4b5a3.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4091/9781409173359.jpg,Trapeze,,1409173356,9.78141E+12,en,10/19/2017 0:00,,3.12,24,Stranger Fillings : Edible recipes to turn your world upside down!,/Stranger-Fillings-Muffin-Brothers/9781409173359,384
[17],76405,"[1532, 1600, 2820]",,151,230,23,,,,1,9.7814E+12,,448dbd5af60b3d681afc1888165dd9ca,full/8/3/9/8398ea46e10276eea120afed50d468472ebfea31.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4019/9781401938697.jpg,,,1401938698,9.7814E+12,,8/26/2015 0:00,,4.14,12083,Biology of Belief: 10th Anniversary Edition,/Biology-Belief-10th-Anniversary-Edition-Bruce-Lipton/9781401938697,405
[18],509443,"[2980, 2452, 2540]","Olivia believes in making every day an adventure, and you can help her with this fun, interactive mini kit featuring a cute magnet of Olivia, along with a full range of magnetic outfits and accessories to mix and match -  now she's ready for anything! Also included is a 16-page full-colour sticker book.",89,91,61,,,8-Jun,1,9.78076E+12,colour illustrations throughout,e6bf28647da12290ba99ce38cd6d3085,full/c/c/6/cc6dffe99fd691e7cc7605392ab0221818520c5d.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7624/9780762451012.jpg,Running Press Miniature Editions,,762451017,9.78076E+12,en,10/1/2013 0:00,,,,Olivia Dress Me Up : A Magnetic Kit,/Olivia-Dress-Me-Up-Running-Press/9780762451012,84
[19],662246,"[146, 3261, 2978, 2980, 2983]","Based on the beloved Radio 4 series, BLEAK EXPECTATIONS recounts the remarkable adventures of young Pip Bin as he tries to make his way in a world made all horrible by the machinations of his cruel guardian, Mr Gently Benevolent.",133,196,27,,UK ed.,,1,9.78147E+12,,5a8a678241506cc85678a5d667047af1,full/3/b/3/3b3edb9069a6519d1b0a149281d0bdc2df3cae2f.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4721/9781472112583.jpg,Corsair,,147211258X,9.78147E+12,en,5/15/2014 0:00,,3.75,255,Bleak Expectations,/Bleak-Expectations-Mark-Evans/9781472112583,342
